Aggregated Community-Scale Utility Energy Data,,,,,
,,,,,
Municipality,County,Municipality,Year,Total Residential Electricity,Total Residential Natural Gas
Ocean township,Ocean,"Ocean township, Ocean County",2016,480939,2832672
Ocean township,Ocean,"Ocean township, Ocean County",2017,459098,2969784
Ocean township,Ocean,"Ocean township, Ocean County",2018,37562038,3503597
Ocean township,Ocean,"Ocean township, Ocean County",2019,35999362,3302646
Ocean township,Ocean,"Ocean township, Ocean County",2020,36876453,3869177
Ocean township,Ocean,"Ocean township, Ocean County",2021,38279285,4260980
Oceanport borough,Monmouth,"Oceanport borough, Monmouth County",2015,23242859,2315944
Oceanport borough,Monmouth,"Oceanport borough, Monmouth County",2016,NDA,2021195
Oceanport borough,Monmouth,"Oceanport borough, Monmouth County",2017,NDA,2127928
Oceanport borough,Monmouth,"Oceanport borough, Monmouth County",2018,24308770,2455765
Oceanport borough,Monmouth,"Oceanport borough, Monmouth County",2019,24089817,2374112
Oceanport borough,Monmouth,"Oceanport borough, Monmouth County",2020,23892453,2224632
Oceanport borough,Monmouth,"Oceanport borough, Monmouth County",2021,24785851,2339717
Ogdensburg borough,Sussex,"Ogdensburg borough, Sussex County",2015,9345463,3198
Ogdensburg borough,Sussex,"Ogdensburg borough, Sussex County",2016,NDA,3613
Ogdensburg borough,Sussex,"Ogdensburg borough, Sussex County",2017,NDA,4083
Ogdensburg borough,Sussex,"Ogdensburg borough, Sussex County",2018,8598300,6261
Ogdensburg borough,Sussex,"Ogdensburg borough, Sussex County",2019,8340467,58999
Ogdensburg borough,Sussex,"Ogdensburg borough, Sussex County",2020,8546029,201603
Ogdensburg borough,Sussex,"Ogdensburg borough, Sussex County",2021,8822824,321755
Old Bridge township,Middlesex,"Old Bridge township, Middlesex County",2015,201497406,16451047
Old Bridge township,Middlesex,"Old Bridge township, Middlesex County",2016,NDA,14797023
Old Bridge township,Middlesex,"Old Bridge township, Middlesex County",2017,NDA,15639458
Old Bridge township,Middlesex,"Old Bridge township, Middlesex County",2018,197432388,17738693
Old Bridge township,Middlesex,"Old Bridge township, Middlesex County",2019,188172120,16588725
Old Bridge township,Middlesex,"Old Bridge township, Middlesex County",2020,194091576,15367691
Old Bridge township,Middlesex,"Old Bridge township, Middlesex County",2021,200616040,16478124
Old Tappan borough,Bergen,"Old Tappan borough, Bergen County",2015,29344986,3605853
Old Tappan borough,Bergen,"Old Tappan borough, Bergen County",2016,29247198,3113449
Old Tappan borough,Bergen,"Old Tappan borough, Bergen County",2017,27228855,3307155
Old Tappan borough,Bergen,"Old Tappan borough, Bergen County",2018,28436286,3607338
Old Tappan borough,Bergen,"Old Tappan borough, Bergen County",2019,26782052,3555236
Old Tappan borough,Bergen,"Old Tappan borough, Bergen County",2020,28563026,3295832
Old Tappan borough,Bergen,"Old Tappan borough, Bergen County",2021,28215096,3402442
Oldmans township,Salem,"Oldmans township, Salem County",2015,8991164,264859
Oldmans township,Salem,"Oldmans township, Salem County",2016,8620429,212995
Oldmans township,Salem,"Oldmans township, Salem County",2017,8157997,224047
Oldmans township,Salem,"Oldmans township, Salem County",2018,8204162,266812
Oldmans township,Salem,"Oldmans township, Salem County",2019,7286636,254375
Oldmans township,Salem,"Oldmans township, Salem County",2020,7151490,228711
Oldmans township,Salem,"Oldmans township, Salem County",2021,7252891,252631
Oradell borough,Bergen,"Oradell borough, Bergen County",2015,31138720,3766517
Oradell borough,Bergen,"Oradell borough, Bergen County",2016,30095515,3393041
Oradell borough,Bergen,"Oradell borough, Bergen County",2017,28055953,3349700
Oradell borough,Bergen,"Oradell borough, Bergen County",2018,29683442,3737555
Oradell borough,Bergen,"Oradell borough, Bergen County",2019,28220717,3630866
Oradell borough,Bergen,"Oradell borough, Bergen County",2020,29545878,3295240
Oradell borough,Bergen,"Oradell borough, Bergen County",2021,29220181,3435844
Oxford township,Warren,"Oxford township, Warren County",2015,9465838,262027
Oxford township,Warren,"Oxford township, Warren County",2016,NDA,265708
Oxford township,Warren,"Oxford township, Warren County",2017,NDA,288589
Oxford township,Warren,"Oxford township, Warren County",2018,9454915,332309
Oxford township,Warren,"Oxford township, Warren County",2019,9211152,319311
Oxford township,Warren,"Oxford township, Warren County",2020,9483835,429635
Oxford township,Warren,"Oxford township, Warren County",2021,9740064,600837
Palisades Park borough,Bergen,"Palisades Park borough, Bergen County",2015,44880335,4464847
Palisades Park borough,Bergen,"Palisades Park borough, Bergen County",2016,45599534,4163011
Palisades Park borough,Bergen,"Palisades Park borough, Bergen County",2017,43510981,4267383
Palisades Park borough,Bergen,"Palisades Park borough, Bergen County",2018,46788654,4741892
Palisades Park borough,Bergen,"Palisades Park borough, Bergen County",2019,44557987,4631983
Palisades Park borough,Bergen,"Palisades Park borough, Bergen County",2020,47281769,4275770
Palisades Park borough,Bergen,"Palisades Park borough, Bergen County",2021,46651286,4391858
Palmyra borough,Burlington,"Palmyra borough, Burlington County",2015,25549528,1997271
Palmyra borough,Burlington,"Palmyra borough, Burlington County",2016,24410266,1651285
Palmyra borough,Burlington,"Palmyra borough, Burlington County",2017,24475233,1855840
Palmyra borough,Burlington,"Palmyra borough, Burlington County",2018,26629452,2140967
Palmyra borough,Burlington,"Palmyra borough, Burlington County",2019,25573924,1956080
Palmyra borough,Burlington,"Palmyra borough, Burlington County",2020,25889246,1819923
Palmyra borough,Burlington,"Palmyra borough, Burlington County",2021,26219519,1866438
Paramus borough,Bergen,"Paramus borough, Bergen County",2015,89302327,10775959
Paramus borough,Bergen,"Paramus borough, Bergen County",2016,88607280,9768831
Paramus borough,Bergen,"Paramus borough, Bergen County",2017,83396619,9850929
Paramus borough,Bergen,"Paramus borough, Bergen County",2018,88938050,10912601
Paramus borough,Bergen,"Paramus borough, Bergen County",2019,83640031,10616330
Paramus borough,Bergen,"Paramus borough, Bergen County",2020,88296278,9859266
Paramus borough,Bergen,"Paramus borough, Bergen County",2021,87242988,10115675
Park Ridge borough,Bergen,"Park Ridge borough, Bergen County",2015,6300,3891686
Park Ridge borough,Bergen,"Park Ridge borough, Bergen County",2016,6098,3586933
Park Ridge borough,Bergen,"Park Ridge borough, Bergen County",2017,5869,3735219
Park Ridge borough,Bergen,"Park Ridge borough, Bergen County",2018,6079,3860869
Park Ridge borough,Bergen,"Park Ridge borough, Bergen County",2019,5886,3856780
Park Ridge borough,Bergen,"Park Ridge borough, Bergen County",2020,5426,3523139
Park Ridge borough,Bergen,"Park Ridge borough, Bergen County",2021,5365,3624126
Parsippany-Troy Hills township,Morris,"Parsippany-Troy Hills township, Morris County",2015,157324799,12689792
Parsippany-Troy Hills township,Morris,"Parsippany-Troy Hills township, Morris County",2016,NDA,11386372
Parsippany-Troy Hills township,Morris,"Parsippany-Troy Hills township, Morris County",2017,NDA,12061264
Parsippany-Troy Hills township,Morris,"Parsippany-Troy Hills township, Morris County",2018,155379151,13574946
Parsippany-Troy Hills township,Morris,"Parsippany-Troy Hills township, Morris County",2019,147769064,12937531
Parsippany-Troy Hills township,Morris,"Parsippany-Troy Hills township, Morris County",2020,151746164,12284048
Parsippany-Troy Hills township,Morris,"Parsippany-Troy Hills township, Morris County",2021,156971062,12321898
Passaic city,Passaic,"Passaic city, Passaic County",2015,118140490,13033883
Passaic city,Passaic,"Passaic city, Passaic County",2016,118382129,11869435
Passaic city,Passaic,"Passaic city, Passaic County",2017,114320740,12239990
Passaic city,Passaic,"Passaic city, Passaic County",2018,120836867,13456392
Passaic city,Passaic,"Passaic city, Passaic County",2019,116104091,13028680
Passaic city,Passaic,"Passaic city, Passaic County",2020,120716935,11910961
Passaic city,Passaic,"Passaic city, Passaic County",2021,120031124,12189641
Paterson city,Passaic,"Paterson city, Passaic County",2015,272447873,36915623
Paterson city,Passaic,"Paterson city, Passaic County",2016,269534099,32122689
Paterson city,Passaic,"Paterson city, Passaic County",2017,262129173,34215839
Paterson city,Passaic,"Paterson city, Passaic County",2018,280226883,38487045
Paterson city,Passaic,"Paterson city, Passaic County",2019,270884952,37036434
Paterson city,Passaic,"Paterson city, Passaic County",2020,287074651,34245789
Paterson city,Passaic,"Paterson city, Passaic County",2021,289466693,35407760
Paulsboro borough,Gloucester,"Paulsboro borough, Gloucester County",2015,22511879,1012660
Paulsboro borough,Gloucester,"Paulsboro borough, Gloucester County",2016,21990074,888232
Paulsboro borough,Gloucester,"Paulsboro borough, Gloucester County",2017,20379190,858323
Paulsboro borough,Gloucester,"Paulsboro borough, Gloucester County",2018,20332430,975117
Paulsboro borough,Gloucester,"Paulsboro borough, Gloucester County",2019,20197614,985444
Paulsboro borough,Gloucester,"Paulsboro borough, Gloucester County",2020,20604653,905463
Paulsboro borough,Gloucester,"Paulsboro borough, Gloucester County",2021,21641599,1076159
Peapack and Gladstone borough,Somerset,"Peapack and Gladstone borough, Somerset County",2015,13581299,840652
Peapack and Gladstone borough,Somerset,"Peapack and Gladstone borough, Somerset County",2016,NDA,798075
Peapack and Gladstone borough,Somerset,"Peapack and Gladstone borough, Somerset County",2017,NDA,846921
Peapack and Gladstone borough,Somerset,"Peapack and Gladstone borough, Somerset County",2018,13347674,995501
Peapack and Gladstone borough,Somerset,"Peapack and Gladstone borough, Somerset County",2019,13071032,914332
Peapack and Gladstone borough,Somerset,"Peapack and Gladstone borough, Somerset County",2020,13278702,871408
Peapack and Gladstone borough,Somerset,"Peapack and Gladstone borough, Somerset County",2021,13668387,899740
Pemberton borough,Burlington,"Pemberton borough, Burlington County",2015,140112,421115
Pemberton borough,Burlington,"Pemberton borough, Burlington County",2016,NDA,345476
Pemberton borough,Burlington,"Pemberton borough, Burlington County",2017,NDA,362334
Pemberton borough,Burlington,"Pemberton borough, Burlington County",2018,145931,434077
Pemberton borough,Burlington,"Pemberton borough, Burlington County",2019,135526,416759
Pemberton borough,Burlington,"Pemberton borough, Burlington County",2020,112617,375964
Pemberton borough,Burlington,"Pemberton borough, Burlington County",2021,102707,417602
Pemberton township,Burlington,"Pemberton township, Burlington County",2015,106807409,4528422
Pemberton township,Burlington,"Pemberton township, Burlington County",2016,1702908,3810626
Pemberton township,Burlington,"Pemberton township, Burlington County",2017,1692821,3989915
Pemberton township,Burlington,"Pemberton township, Burlington County",2018,103549193,4506548
Pemberton township,Burlington,"Pemberton township, Burlington County",2019,99509549,4379700
Pemberton township,Burlington,"Pemberton township, Burlington County",2020,98621360,3991877
Pemberton township,Burlington,"Pemberton township, Burlington County",2021,102749601,4412583
Pennington borough,Mercer,"Pennington borough, Mercer County",2015,10329133,857283
Pennington borough,Mercer,"Pennington borough, Mercer County",2016,10037412,929765
Pennington borough,Mercer,"Pennington borough, Mercer County",2017,9854555,929291
Pennington borough,Mercer,"Pennington borough, Mercer County",2018,10392579,1049530
Pennington borough,Mercer,"Pennington borough, Mercer County",2019,10120518,1005305
Pennington borough,Mercer,"Pennington borough, Mercer County",2020,10630550,1586645
Pennington borough,Mercer,"Pennington borough, Mercer County",2021,10907498,1982853
Penns Grove borough,Salem,"Penns Grove borough, Salem County",2015,26174506,1178422
Penns Grove borough,Salem,"Penns Grove borough, Salem County",2016,23679093,936402
Penns Grove borough,Salem,"Penns Grove borough, Salem County",2017,22612794,1005059
Penns Grove borough,Salem,"Penns Grove borough, Salem County",2018,24079909,1214391
Penns Grove borough,Salem,"Penns Grove borough, Salem County",2019,23394670,1139609
Penns Grove borough,Salem,"Penns Grove borough, Salem County",2020,23235256,1042868
Penns Grove borough,Salem,"Penns Grove borough, Salem County",2021,23997391,1174292
Pennsauken township,Camden,"Pennsauken township, Camden County",2015,101765472,9579825
