Municipality,County,Year,Total Residential Electricity,Total Residential Natural Gas
Chatham township,Morris,2021,47088272,4474503
Cherry Hill township,Camden,2015,269192755,22906191
Cherry Hill township,Camden,2016,264979369,18887834
Cherry Hill township,Camden,2017,250063551,19606448
Cherry Hill township,Camden,2018,262762024,22942602
Cherry Hill township,Camden,2019,253009590,21188794
Cherry Hill township,Camden,2020,257980271,19472464
Cherry Hill township,Camden,2021,261982301,20998385
Chesilhurst borough,Camden,2015,6401082,348848
Chesilhurst borough,Camden,2016,6093197,283521
Chesilhurst borough,Camden,2017,5480490,279959
Chesilhurst borough,Camden,2018,5910047,315261
Chesilhurst borough,Camden,2019,5490931,316110
Chesilhurst borough,Camden,2020,5681425,302546
Chesilhurst borough,Camden,2021,5701710,317822
Chester borough,Morris,2015,7608932,904727
Chester borough,Morris,2018,7396766,977970
Chester borough,Morris,2019,7285587,912074
Chester borough,Morris,2020,7528755,832897
Chester borough,Morris,2021,7612214,869059
Chester township,Morris,2015,44342662,3172924
Chester township,Morris,2018,42674577,3479094
Chester township,Morris,2019,42091003,3326155
Chester township,Morris,2020,42635686,3095713
Chester township,Morris,2021,43697778,3200595
Chesterfield township,Burlington,2015,21307038,1249011
Chesterfield township,Burlington,2016,19790601,1187946
Chesterfield township,Burlington,2017,19116994,1223257
Chesterfield township,Burlington,2018,22475003,1468557
Chesterfield township,Burlington,2019,21838248,1414451
Chesterfield township,Burlington,2020,22540581,1321408
Chesterfield township,Burlington,2021,22756476,1396974
Cinnaminson township,Burlington,2015,60713656,5159213
Cinnaminson township,Burlington,2016,60710819,4713224
Cinnaminson township,Burlington,2017,55726374,4753780
Cinnaminson township,Burlington,2018,62411034,5642630
Cinnaminson township,Burlington,2019,58121755,5080077
Cinnaminson township,Burlington,2020,59762572,4578067
Cinnaminson township,Burlington,2021,60817015,4819460
City of Orange township,Essex,2015,57734737,6663623
City of Orange township,Essex,2016,58654218,6104703
City of Orange township,Essex,2017,56161292,6182905
City of Orange township,Essex,2018,60288874,7001532
City of Orange township,Essex,2019,59245076,6794152
City of Orange township,Essex,2020,61582082,6343106
City of Orange township,Essex,2021,62965274,6683478
Clark township,Union,2015,52336100,4171841
Clark township,Union,2016,52789971,4369027
Clark township,Union,2017,50214049,4580773
Clark township,Union,2018,52856337,5101594
Clark township,Union,2019,50536547,4778868
Clark township,Union,2020,52237069,7222387
Clark township,Union,2021,52694607,9210957
Clayton borough,Gloucester,2015,29559360,2044303
Clayton borough,Gloucester,2016,28590501,1733207
Clayton borough,Gloucester,2017,26385399,1740938
Clayton borough,Gloucester,2018,28379103,2090015
Clayton borough,Gloucester,2019,27135537,1934279
Clayton borough,Gloucester,2020,27342825,1840588
Clayton borough,Gloucester,2021,27666290,1952686
Clementon borough,Camden,2015,50287214,1029852
Clementon borough,Camden,2016,47508531,821035
Clementon borough,Camden,2017,45092238,847730
Clementon borough,Camden,2018,48785717,1057525
Clementon borough,Camden,2019,46290495,1003755
Clementon borough,Camden,2020,46945581,958867
Clementon borough,Camden,2021,48095783,1041163
Cliffside Park borough,Bergen,2015,71119186,4963886
Cliffside Park borough,Bergen,2016,69634144,4590292
Cliffside Park borough,Bergen,2017,67349665,4658562
Cliffside Park borough,Bergen,2018,74866272,5224047
Cliffside Park borough,Bergen,2019,71072367,5048139
Cliffside Park borough,Bergen,2020,71514491,4682480
Cliffside Park borough,Bergen,2021,70846993,4778150
Clifton city,Passaic,2015,212997437,26589246
Clifton city,Passaic,2016,211321940,22424288
Clifton city,Passaic,2017,201604939,23765174
Clifton city,Passaic,2018,213084443,26922016
Clifton city,Passaic,2019,201993267,25610044
Clifton city,Passaic,2020,211063336,23580958
Clifton city,Passaic,2021,211269236,24761234
Clinton town,Hunterdon,2015,11512299,551285
Clinton town,Hunterdon,2018,12052624,712219
Clinton town,Hunterdon,2019,11770821,666761
Clinton town,Hunterdon,2020,11737625,1026766
Clinton town,Hunterdon,2021,12075124,1332322
Clinton township,Hunterdon,2015,56683153,2242923
Clinton township,Hunterdon,2018,55825488,2811904
